nome,ticker,setor,segAtuacao,descricao,P/L,ROE,preco_atual,debtToEquity,dividendYield,freeCashflow,ebitdaMargins,Beta,Liqui Corrente,Vol Med Diário,Margem Operacional,Máxima 52 Semanas,Mínima 52 Semanas,noticias
Sendas Distribuidora S.A.,ASAI3,Consumer Defensive,Grocery Stores,"Sendas Distribuidora S.A. engages in the retail and wholesale sale of food products, bazaar items, and other products in Brazil. The company offers grocery, food, perishable, beverage, wrapping, and hygiene products; and parking, air-conditioned, well-lit environments, and butcher services. It serves restaurants, pizzerias, snack bars, schools, small businesses, religious institutions, hospitals, hotels, grocery stores, neighborhood supermarkets, and individuals. The company sells its products through brick-and-mortar stores, as well as telesales. The company was founded in 1974 and is headquartered in Rio De Janeiro, Brazil.",12.632353,0.09196,8.59,482.121,1.45,435875008.0,0.07553,0.43,1.058,16210153,0.0577,12.04,6.91,"[{'source': {'id': 'info-money', 'name': 'InfoMoney'}, 'author': 'Erick Souza', 'title': 'Inflação de alimentos em alta? Veja possíveis impactos para frigoríficos e atacarejo', 'description': 'A alta no petróleo já provocou, por exemplo, um aumento no preço do diesel, que logo foi refletido em uma elevação nos preços do frete\nThe post Inflação de alimentos em alta? Veja possíveis impactos para frigoríficos e atacarejo appeared first on InfoMoney.', 'url': 'https://www.infomoney.com.br/mercados/inflacao-de-alimentos-em-alta-veja-possiveis-impactos-para-frigorificos-e-atacarejo/', 'urlToImage': 'https://www.infomoney.com.br/wp-content/uploads/2025/01/2025-01-24T190859Z_1_LYNXNPEL0N0X3_RTROPTP_4_LATAM-INFLATION.jpg?quality=70', 'publishedAt': '2026-03-24T16:54:35Z', 'content': 'Com a guerra no Oriente Médio e o aumento nos preços do petróleo, os riscos para a inflação de alimentos no Brasil aumentaram. Para os analistas do Goldman Sachs, essa escalada de preços pode exercer… [+3304 chars]'}, {'source': {'id': 'info-money', 'name': 'InfoMoney'}, 'author': 'Erick Souza', 'title': 'Varejo tem 4º tri desafiador com pressão no consumo e balanços fracos; veja destaques', 'description': 'Corte de juros e execução disciplinada das companhias podem trazer alívio no futuro\nThe post Varejo tem 4º tri desafiador com pressão no consumo e balanços fracos; veja destaques appeared first on InfoMoney.', 'url': 'https://www.infomoney.com.br/mercados/varejo-tem-4o-tri-desafiador-com-pressao-no-consumo-e-balancos-fracos-veja-destaques/', 'urlToImage': 'https://www.infomoney.com.br/wp-content/uploads/2025/05/trbr0763_0.webp?quality=70', 'publishedAt': '2026-03-24T12:21:54Z', 'content': 'A desaceleração no consumo foi a grande protagonista do setor de varejo nos resultados do último trimestre de 2025. O ritmo, que já vinha caindo desde o terceiro trimestre, persistiu até o final do a… [+4145 chars]'}, {'source': {'id': 'info-money', 'name': 'InfoMoney'}, 'author': 'osniralves', 'title': 'Nvidia e OpenAI disparam com novas projeções de receita; veja os destaques da semana', 'description': 'Lucro por ação da fabricante de GPUs avançou 82% na base anual\nThe post Nvidia e OpenAI disparam com novas projeções de receita; veja os destaques da semana appeared first on InfoMoney.', 'url': 'https://www.infomoney.com.br/onde-investir/nvidia-e-openai-disparam-com-novas-projecoes-de-receita-veja-os-destaques-da-semana/', 'urlToImage': 'https://www.infomoney.com.br/wp-content/uploads/2025/11/IS-CHINA-ABOUT-TO-WIN-THE-AI-RACE.jpg?fit=2048%2C1444&quality=70&strip=all', 'publishedAt': '2026-02-28T10:30:00Z', 'content': 'A Nvidia (NVDC34) reportou mais um trimestre de resultados acima das expectativas, com surpresa positiva de 3,4% na receita e de 5,8% no lucro por ação. O destaque ficou por conta da divisão de data … [+3951 chars]'}, {'source': {'id': 'info-money', 'name': 'InfoMoney'}, 'author': 'Lara Rizério', 'title': '8 ações sobem mais de 10% e 8 caem mais de 10%: os destaques do Ibovespa em fevereiro', 'description': 'MRV registrou as maiores altas, enquanto Raízen teve a maior queda\nThe post 8 ações sobem mais de 10% e 8 caem mais de 10%: os destaques do Ibovespa em fevereiro appeared first on InfoMoney.', 'url': 'https://www.infomoney.com.br/mercados/8-acoes-sobem-mais-de-10-e-8-caem-mais-de-10-os-destaques-do-ibovespa-em-fevereiro/', 'urlToImage': 'https://www.infomoney.com.br/wp-content/uploads/2025/10/441891358.jpg?quality=70', 'publishedAt': '2026-02-27T22:26:28Z', 'content': 'O Ibovespa fechou em queda nesta sexta-feira (27), mas assegurou mais um desempenho mensal positivo, o sétimo seguido, marcado por novas máximas históricas, novamente sustentadas pelo fluxo de estran… [+18198 chars]'}]"
Petroreconcavo S.A.,RECV3,Energy,Oil & Gas E&P,"Petroreconcavo S.A. engages in the exploration and production of oil and natural gas in Brazil. The company was founded in 1999 and is headquartered in Mata de São João, Brazil.",6.2522936,0.13571,13.63,53.307,15.13,-995250624.0,0.47425,0.078,2.158,4516963,0.20041999,16.96,10.07,"[{'source': {'id': 'info-money', 'name': 'InfoMoney'}, 'author': 'Reuters', 'title': 'Ibovespa fecha em alta com Petrobras em meio a sinais contraditórios no Oriente Médio', 'description': 'Índice de referência do mercado acionário brasileiro, o Ibovespa (IBOV) subiu 0,32%, a 182.509,14 pontos\nThe post Ibovespa fecha em alta com Petrobras em meio a sinais contraditórios no Oriente Médio appeared first on InfoMoney.', 'url': 'https://www.infomoney.com.br/mercados/ibovespa-fecha-em-alta-com-petrobras-em-meio-a-sinais-contraditorios-no-oriente-medio/', 'urlToImage': 'https://www.infomoney.com.br/wp-content/uploads/2024/08/Captura-de-tela-2024-08-15-092426.png?quality=70', 'publishedAt': '2026-03-24T20:45:25Z', 'content': 'SÃO PAULO, 24 Mar (Reuters) O Ibovespa fechou em alta nesta terça-feira, sustentada principalmente pelo avanço da Petrobras (PETR4) na esteira do movimento do preço do petróleo no exterior, enquanto … [+5544 chars]'}, {'source': {'id': 'info-money', 'name': 'InfoMoney'}, 'author': 'camillebocanegra', 'title': 'Ações da Petrobras, da PRIO e de outras petroleiras sobem com nova alta do petróleo', 'description': 'Preços de contratos do petróleo voltaram a subir nesta terça-feira, com brent novamente ultrapassando os US$ 102\nThe post Ações da Petrobras, da PRIO e de outras petroleiras sobem com nova alta do petróleo appeared first on InfoMoney.', 'url': 'https://www.infomoney.com.br/mercados/acoes-da-petrobras-da-prio-e-de-outras-petroleiras-sobem-com-nova-alta-do-petroleo/', 'urlToImage': 'https://www.infomoney.com.br/wp-content/uploads/2025/04/Petroleo.jpg?quality=70', 'publishedAt': '2026-03-24T15:49:15Z', 'content': 'Após petroleiras chegarem a cair durante a sessão da segunda-feira (23), papéis de petroleiras como Petrobras (PETR3; PETR4), PRIO (PRIO3) e PetroReconcavo (RECV3) avançam no pregão desta terça (24).… [+1527 chars]'}, {'source': {'id': 'info-money', 'name': 'InfoMoney'}, 'author': 'Lara Rizério', 'title': 'Ibovespa “orbita” nos 182 mil pontos com Petrobras apesar de receio com Oriente Médio', 'description': 'Depois de desabar na véspera, o preço do petróleo voltou a subir no exterior\nThe post Ibovespa “orbita” nos 182 mil pontos com Petrobras apesar de receio com Oriente Médio appeared first on InfoMoney.', 'url': 'https://www.infomoney.com.br/mercados/ibovespa-orbita-nos-182-mil-pontos-com-petrobras-apesar-de-receio-com-oriente-medio/', 'urlToImage': 'https://www.infomoney.com.br/wp-content/uploads/2025/03/Mulher_B3.jpg?quality=70', 'publishedAt': '2026-03-24T15:41:29Z', 'content': 'SÃO PAULO, 24 Mar (Reuters) O Ibovespa titubeava nesta terça-feira, após fortes ganhos na véspera, em meio a um ambiente ainda volátil envolvendo o conflito no Oriente Médio, com novos ataques do Irã… [+3863 chars]'}, {'source': {'id': 'info-money', 'name': 'InfoMoney'}, 'author': 'Lara Rizério', 'title': 'Ibovespa cai 2,25% e vai para mínima em 2 meses sem sinais de arrefecimento de guerra', 'description': 'Na semana, a perda foi de 0,81%, ampliando a queda no mês para 6,66%\nThe post Ibovespa cai 2,25% e vai para mínima em 2 meses sem sinais de arrefecimento de guerra appeared first on InfoMoney.', 'url': 'https://www.infomoney.com.br/mercados/ibovespa-cai-225-e-vai-para-minima-em-2-meses-sem-sinais-de-arrefecimento-de-guerra/', 'urlToImage': 'https://www.infomoney.com.br/wp-content/uploads/2019/06/acoes-queda-baixa-bear.jpg?quality=70', 'publishedAt': '2026-03-20T20:52:29Z', 'content': 'SÃO PAULO, 20 Mar (Reuters) O Ibovespa fechou em queda de mais de 2% nesta sexta-feira, mais uma vez contaminado pela aversão a risco global com os receios envolvendo o conflito no Oriente Médio e se… [+6370 chars]'}, {'source': {'id': 'info-money', 'name': 'InfoMoney'}, 'author': 'Reuters', 'title': 'Ibovespa reage e fecha em alta de 0,35%, com Hapvida em destaque', 'description': 'Em meio a uma série de resultados corporativos, investidores da bolsa paulista também repercutiram decisão do Banco Central de cortar a Selic a 14,75% ao ano na véspera\nThe post Ibovespa reage e fecha em alta de 0,35%, com Hapvida em destaque appeared first o…', 'url': 'https://www.infomoney.com.br/mercados/ibovespa-reage-e-fecha-em-alta-de-035-com-hapvida-em-destaque/', 'urlToImage': 'https://www.infomoney.com.br/wp-content/uploads/2024/05/2024-05-29T141042Z_1_LYNXMPEK4S0MF_RTROPTP_4_BOLSA-IBOVESPA-ABRE.jpg?quality=70', 'publishedAt': '2026-03-19T20:54:48Z', 'content': '(Reuters) O Ibovespa fechou em alta nesta quinta-feira, revertendo as perdas registradas em boa parte da sessão e ultrapassando 181 mil pontos no melhor momento, com Hapvida entre os destaques positi… [+6099 chars]'}]"
Movida Participações S.A.,MOVI3,Industrials,Rental & Leasing Services,"Movida Participações S.A., through its subsidiaries, provides car rental services in Brazil. It operates in two segments, Rent-a-Car, and Fleet Management and Outsourcing (GTF). The company offers light vehicle rental services; fleet management and outsourcing services; fleet sizing study, including acquisition, customization, and standardization of the customer's fleet; management of maintenance, provision of temporary vehicles, spare car, documentation management, and demobilization; and corrective and preventive maintenance, insurance, tire replacement, and replacement vehicles for maintenance periods. It also sells pre-owned cars. The company was formerly known as H.L.C.S.P.E Empreendimentos e Participações S.A. and changed its name to Movida Participações S.A. in December 2014. The company was founded in 2006 and is based in São Paulo, Brazil. Movida Participações S.A. operates as a subsidiary of Simpar S.A.",13.362637,0.10215,12.16,763.013,7.29,2856065536.0,0.36073002,0.351,0.685,4892409,0.2325,14.97,4.64,"[{'source': {'id': 'info-money', 'name': 'InfoMoney'}, 'author': 'Erick Souza', 'title': 'Movida (MOVI3) encerra semestre com números fortes mas ação recua mais de 2%', 'description': 'Lucro líquido cresceu mais que 65% na comparação com o ano anterior\nThe post Movida (MOVI3) encerra semestre com números fortes mas ação recua mais de 2% appeared first on InfoMoney.', 'url': 'https://www.infomoney.com.br/mercados/movida-movi3-encerra-semestre-com-numeros-fortes-mas-acao-recua-mais-de-2/', 'urlToImage': 'https://www.infomoney.com.br/wp-content/uploads/2026/03/Movida_Loja-Brasilia-1.jpg-1.jpeg?quality=70', 'publishedAt': '2026-03-24T20:32:09Z', 'content': 'Ao final do quarto trimestre de 2025, a Movida (MOVI3) reportou resultados positivos, com lucro líquido 65% acima do registrado no ano anterior, de R$ 102 milhões. Mesmo assim, nesta terça-feira (24)… [+2099 chars]'}, {'source': {'id': 'info-money', 'name': 'InfoMoney'}, 'author': 'camillebocanegra', 'title': 'Movida, Vibra, Suzano, Rede D’Or e mais ações para acompanhar hoje', 'description': 'Confira os principais destaques do noticiário corporativo desta terça-feira (24)\nThe post Movida, Vibra, Suzano, Rede D’Or e mais ações para acompanhar hoje appeared first on InfoMoney.', 'url': 'https://www.infomoney.com.br/mercados/movida-vibra-suzano-rede-dor-e-mais-acoes-para-acompanhar-hoje/', 'urlToImage': 'https://www.infomoney.com.br/wp-content/uploads/2026/03/Movida_Loja-Brasilia-1.jpg-1.jpeg?quality=70', 'publishedAt': '2026-03-24T11:35:11Z', 'content': 'O radar corporativo desta terça-feira (24) tem como destaques notícias envolvendo Rede DOr (RDOR3), Movida (MOVI3), Vibra (VBBR3), Suzano (SUBZ3) e Multiplan (MULT3).\r\nA TIM (TIMS3) anunciou ter toma… [+3277 chars]'}, {'source': {'id': 'info-money', 'name': 'InfoMoney'}, 'author': 'camillebocanegra', 'title': 'Movida (MOVI3) lucra R$ 102,3 milhões no 4º tri, alta anual de 64,5%', 'description': 'A locadora divulgou seus resultados na noite desta segunda-feira (23)\nThe post Movida (MOVI3) lucra R$ 102,3 milhões no 4º tri, alta anual de 64,5% appeared first on InfoMoney.', 'url': 'https://www.infomoney.com.br/mercados/movida-movi3-resultados-quarto-trimestre-2025/', 'urlToImage': 'https://www.infomoney.com.br/wp-content/uploads/2025/11/WhatsApp-Image-2025-11-10-at-17.51.20.jpeg?quality=70', 'publishedAt': '2026-03-24T00:47:52Z', 'content': 'A Movida (MOVI3) reportou seus resultados do quarto trimestre de 2025 (4T25) na noite desta segunda-feira (23). A locadora teve lucro líquido de R$ 102,3 milhões, com alta de 64,5% na comparação com … [+3946 chars]'}, {'source': {'id': 'info-money', 'name': 'InfoMoney'}, 'author': 'Angelo Pavini', 'title': 'Bolsa brasileira: dos 94 IPOs feitos desde 2014, só 17 apresentam ganhos', 'description': 'Apenas 75 empresas ainda estão no mercado, com ganhos de até 300% e perdas de até 99,99%\nThe post Bolsa brasileira: dos 94 IPOs feitos desde 2014, só 17 apresentam ganhos appeared first on InfoMoney.', 'url': 'https://www.infomoney.com.br/onde-investir/bolsa-brasileira-dos-94-ipos-feitos-desde-2014-so-17-apresentam-ganhos/', 'urlToImage': 'https://www.infomoney.com.br/wp-content/uploads/2019/06/ipo-bolsa-b3-bovespa-acoes-1.jpg?fit=900%2C600&quality=70&strip=all', 'publishedAt': '2026-03-11T08:00:00Z', 'content': 'Das 94 ofertas públicas iniciais de ações de empresas realizadas de 2014 para cá, apenas 75 continuam no mercado e somente 17 delas apresentaram desempenho positivo desde o IPO até 19 de fevereiro de… [+8504 chars]'}, {'source': {'id': 'info-money', 'name': 'InfoMoney'}, 'author': 'camillebocanegra', 'title': 'Simpar: No médio e longo prazo, não tem conta pra fazer, diz CFO sobre capitalização', 'description': 'CFO considera que mercado precisa de tempo para digerir o passo realizado pela holding \nThe post Simpar: No médio e longo prazo, não tem conta pra fazer, diz CFO sobre capitalização appeared first on InfoMoney.', 'url': 'https://www.infomoney.com.br/mercados/simpar-no-medio-e-longo-prazo-nao-tem-conta-pra-fazer-diz-cfo-sobre-capitalizacao/', 'urlToImage': 'https://www.infomoney.com.br/wp-content/uploads/2022/11/Denys-Ferrez_CFO-Simpar.jpg?quality=70', 'publishedAt': '2026-03-06T20:35:20Z', 'content': 'A Simpar (SIMH3) anunciou, juntamente com a Movida (MOVI3) e a Vamos (VAMO3), aprovação de aumento de capital privado que pode chegar ao valor combinado de R$ 2,2 bilhões a R$ 3,1 bilhões, com partic… [+2302 chars]'}]"
Braskem S.A.,BRKM5,Basic Materials,Chemicals,"Braskem S.A., together with its subsidiaries, engages in the manufacture, sale, import, and export of chemicals, petrochemicals, and fuels in Brazil. It produces and sells polyethylene (PE), polypropylene, tertiary-butyl ethyl ether, gasoline, benzene, toluene, xylene, ethylene, propylene, polyvinyl chloride, caustic soda, butadiene, cumene, naphtha, solvents, and condensate; thermoplastic resins; and basic petrochemicals. The company also supplies electricity and other inputs to second-generation producers; and sale of utilities such as steam, water, compressed air and industrial gases, as well as provides industrial services and natural gas. It also operates in the United States, Mexico, Switzerland, Argentina, Germany, Japan, the Netherlands, Singapore, Chile, Spain, Peru, Italy, Luxembourg, China, and internationally. The company was formerly known as Copene Petroquímica do Nordeste S.A. and changed its name to Braskem S.A. in 2002. Braskem S.A. was founded in 1972 and is headquartered in São Paulo, Brazil. Braskem S.A. is a subsidiary of NSP Investimentos S.A.",N/A,N/A,9.12,N/A,N/A,-7746124800.0,-0.00481,0.851,1.175,4849596,-0.096540004,13.78,6.11,"[{'source': {'id': 'info-money', 'name': 'InfoMoney'}, 'author': 'Lara Rizério', 'title': 'Braskem deve ter “deterioração significativa” nos resultados do 4T, apontam analistas', 'description': 'A expectativa da XP Investimentos é de que s os spreads petroquímicos internacionais permaneçam sob pressão no trimestre\nThe post Braskem deve ter “deterioração significativa” nos resultados do 4T, apontam analistas appeared first on InfoMoney.', 'url': 'https://www.infomoney.com.br/mercados/braskem-deve-ter-deterioracao-significativa-nos-resultados-do-4t-apontam-analistas/', 'urlToImage': 'https://www.infomoney.com.br/wp-content/uploads/2022/10/unnamed-3.jpg?quality=70', 'publishedAt': '2026-03-26T19:27:31Z', 'content': 'A Braskem (BRKM5) divulga os resultados do 4º trimestre de 2025 (4T25) nesta quinta-feira (26). \r\nA expectativa da XP Investimentos é de uma deterioração significativa nos resultados, com receita de … [+1937 chars]'}, {'source': {'id': 'info-money', 'name': 'InfoMoney'}, 'author': 'Erick Souza', 'title': 'IPCA-15, dados de desemprego nos EUA, Braskem e guerra no Irã são destaques nesta 5ª', 'description': 'InfoMoney reúne as principais informações que devem movimentar os mercados nesta quinta-feira (26)\nThe post IPCA-15, dados de desemprego nos EUA, Braskem e guerra no Irã são destaques nesta 5ª appeared first on InfoMoney.', 'url': 'https://www.infomoney.com.br/mercados/ipca-15-dados-de-emprego-nos-eua-braskem-e-conflito-no-ira-sao-destaques-nesta-5a/', 'urlToImage': 'https://www.infomoney.com.br/wp-content/uploads/2025/10/inflacion12.jpg?quality=70', 'publishedAt': '2026-03-26T09:14:28Z', 'content': 'A sessão desta quinta-feira (26) terá como principal destaque a divulgação do IPCA-15 referente ao mês de março, com dados prévios da inflação oficial. Os mercados esperam que o indicador mostre um c… [+5195 chars]'}, {'source': {'id': 'info-money', 'name': 'InfoMoney'}, 'author': 'Lara Rizério', 'title': 'Ibovespa futuro sobe 0,81% no after market com notícia de possível cessar-fogo', 'description': 'Um canal de TV israelense noticiou que um cessar-fogo de um mês será anunciado, a partir de um mecanismo que está sendo elaborado pelos EUA\nThe post Ibovespa futuro sobe 0,81% no after market com notícia de possível cessar-fogo appeared first on InfoMoney.', 'url': 'https://www.infomoney.com.br/mercados/ibovespa-futuro-sobe-081-no-after-market-com-noticia-de-possivel-cessar-fogo/', 'urlToImage': 'https://www.infomoney.com.br/wp-content/uploads/2024/06/Bolsa-pregao-def.jpg?quality=70', 'publishedAt': '2026-03-24T21:37:14Z', 'content': 'Após recuperação superior a 3% na sessão anterior e com apenas uma ação da carteira então em baixa -, o Ibovespa (IBOV) lutou por novos ganhos nesta terça-feira, amparado por Vale (VALE3; ON +0,79%) … [+4673 chars]'}, {'source': {'id': 'info-money', 'name': 'InfoMoney'}, 'author': 'Lara Rizério', 'title': 'Ibovespa cai 2,25% e vai para mínima em 2 meses sem sinais de arrefecimento de guerra', 'description': 'Na semana, a perda foi de 0,81%, ampliando a queda no mês para 6,66%\nThe post Ibovespa cai 2,25% e vai para mínima em 2 meses sem sinais de arrefecimento de guerra appeared first on InfoMoney.', 'url': 'https://www.infomoney.com.br/mercados/ibovespa-cai-225-e-vai-para-minima-em-2-meses-sem-sinais-de-arrefecimento-de-guerra/', 'urlToImage': 'https://www.infomoney.com.br/wp-content/uploads/2019/06/acoes-queda-baixa-bear.jpg?quality=70', 'publishedAt': '2026-03-20T20:52:29Z', 'content': 'SÃO PAULO, 20 Mar (Reuters) O Ibovespa fechou em queda de mais de 2% nesta sexta-feira, mais uma vez contaminado pela aversão a risco global com os receios envolvendo o conflito no Oriente Médio e se… [+6370 chars]'}, {'source': {'id': 'info-money', 'name': 'InfoMoney'}, 'author': 'osniralves', 'title': '“Juros insustentáveis vão explodir o país”, alerta CEO da BR Partners', 'description': 'Executivo reconhece que BC age com base nas melhores informações disponíveis, mas não poupa críticas à condução recente da política monetária\nThe post “Juros insustentáveis vão explodir o país”, alerta CEO da BR Partners appeared first on InfoMoney.', 'url': 'https://www.infomoney.com.br/onde-investir/juros-insustentaveis-vao-explodir-o-pais-alerta-ceo-da-br-partners/', 'urlToImage': 'https://www.infomoney.com.br/wp-content/uploads/2026/03/Ricardo-Lacerda-socio-fundador-e-CEO-da-BR-Partners-participa-do-Stock-Pickers.webp?fit=1200%2C801&quality=70&strip=all', 'publishedAt': '2026-03-19T23:00:00Z', 'content': 'O Brasil enfrenta uma deterioração acelerada no ambiente corporativo. Empresas saudáveis estão indo a processos de recuperação judicial por não suportarem o peso de dezenas de bilhões de reais em dív… [+2990 chars]'}]"
Hidrovias do Brasil S.A.,HBSA3,Industrials,Integrated Freight & Logistics,"Hidrovias do Brasil S.A., together with its subsidiaries, provides integrated logistics solutions for waterways in Brazil and internationally. The company is involved in transportation of goods; construction and operation of ports, cargo terminals, shipyards, workshops, and warehouses; river and sea navigation, coastal navigation, and storage of goods; and provision of logistics services and other related activities. It also offers maritime transportation, port terminals, and warehousing services. In addition, the company provides cargo storage and lifting, river transport, handling and storage, specialized cargo terminal, leases navigation, and shipping assets, as well as offers financial transactions agency. It operates four port terminals with 16.7 million tons total loading capacity; and current waterway fleet, which has 484 cargo barges, 24 main tugboats, 7 auxiliary tugboats. Hidrovias do Brasil S.A. was incorporated in 2010 and is headquartered in São Paulo, Brazil.",79.6,0.03765,3.98,172.435,N/A,-183040496.0,0.3793,0.697,2.972,2214508,-0.059660003,4.39,2.06,"[{'source': {'id': 'info-money', 'name': 'InfoMoney'}, 'author': 'Felipe Moreira', 'title': 'Ultrapar tem resultados sólidos com Ipiranga, Hidrovias e Ultragaz e ações reagem', 'description': 'Grupo Ultra lucrou R$ 256 milhões no 4º trimestre\nThe post Ultrapar tem resultados sólidos com Ipiranga, Hidrovias e Ultragaz e ações reagem appeared first on InfoMoney.', 'url': 'https://www.infomoney.com.br/mercados/ultrapar-tem-resultados-solidos-com-ipiranga-hidrovias-e-ultragaz-e-acoes-reagem/', 'urlToImage': 'https://www.infomoney.com.br/wp-content/uploads/2021/02/Ipiranga.jpg?quality=70', 'publishedAt': '2026-03-05T14:33:41Z', 'content': 'A Ultrapar (UGPA3) opera com alta nesta quinta-feira (5) após divulgar resultados considerados sólidos pelo mercado, impulsionados principalmente pelo bom desempenho das divisões Ipiranga, Hidrovias … [+4734 chars]'}, {'source': {'id': 'info-money', 'name': 'InfoMoney'}, 'author': 'Lara Rizério', 'title': 'Ultra (UGPA3) lucra R$ 256 mi no 4º tri; estima investimento de R$ 2,6 bi em 2026', 'description': 'A rede de postos de combustíveis Ipiranga, principal negócio do grupo, vai receber R$ 1,28 bilhão do investimento previsto para o ano\nThe post Ultra (UGPA3) lucra R$ 256 mi no 4º tri; estima investimento de R$ 2,6 bi em 2026 appeared first on InfoMoney.', 'url': 'https://www.infomoney.com.br/mercados/ultra-ugpa3-resultados-quarto-trimestre-2025-investimentos-2026/', 'urlToImage': 'https://www.infomoney.com.br/wp-content/uploads/2025/07/ipiranga-empresas-capa-ultrapar.webp?quality=70', 'publishedAt': '2026-03-04T22:24:22Z', 'content': 'O grupo Ultrapar (UGPA3) teve lucro líquido de R$ 256 milhões no quarto trimestre, queda ante o desempenho positivo de R$881 milhões obtido no mesmo período de 2024, quando o resultado foi impulsiona… [+1951 chars]'}, {'source': {'id': 'info-money', 'name': 'InfoMoney'}, 'author': 'Felipe Moreira', 'title': 'Hidrovias do Brasil tem prejuízo de R$ 361 mi no 4º tri, baixa anual de 11%', 'description': 'No acumulado de 2025, o prejuízo foi de R$ 141 milhões, 75% menor que a perda de R$ 569 milhões registrada em 2024\nThe post Hidrovias do Brasil tem prejuízo de R$ 361 mi no 4º tri, baixa anual de 11% appeared first on InfoMoney.', 'url': 'https://www.infomoney.com.br/mercados/hidrovias-do-brasil-hbsa3-resultados-quarto-trimestre-2025/', 'urlToImage': 'https://www.infomoney.com.br/wp-content/uploads/2020/09/mi_DRONE01_DJI_0037-2.jpg?quality=70', 'publishedAt': '2026-03-03T13:43:04Z', 'content': 'A Hidrovias do Brasil (HBSA3) registrou prejuízo líquido de R$ 361 milhões no quarto trimestre de 2025, redução de 11% frente às perdas de R$ 408 milhões apuradas no mesmo período de 2024. No acumula… [+1127 chars]'}]"
